DBN,School Name,Cohort Year,Local Pct of grads
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,52.00%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,54.20%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,53.60%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,45.30%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,50.00%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,54.30%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,55.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,20.80%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,30.00%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,40.30%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,42.90%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,22.20%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,24.50%
01M450,EAST SIDE COMMUNITY SCHOOL,2001,2.40%
01M450,EAST SIDE COMMUNITY SCHOOL,2001,2.20%
01M450,EAST SIDE COMMUNITY SCHOOL,2001,2.20%
01M450,EAST SIDE COMMUNITY SCHOOL,2002,0.00%
01M450,EAST SIDE COMMUNITY SCHOOL,2002,3.70%
01M450,EAST SIDE COMMUNITY SCHOOL,2002,3.60%
01M450,EAST SIDE COMMUNITY SCHOOL,2003,10.20%
01M450,EAST SIDE COMMUNITY SCHOOL,2003,13.60%
01M450,EAST SIDE COMMUNITY SCHOOL,2003,13.60%
01M450,EAST SIDE COMMUNITY SCHOOL,2004,17.20%
01M450,EAST SIDE COMMUNITY SCHOOL,2004,19.40%
01M450,EAST SIDE COMMUNITY SCHOOL,2004,19.00%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,4.90%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,4.80%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,4.80%
01M450,EAST SIDE COMMUNITY SCHOOL,2005,4.70%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,4.30%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,4.20%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,4.00%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,3.90%
01M450,EAST SIDE COMMUNITY SCHOOL,2007,0.00%
01M450,EAST SIDE COMMUNITY SCHOOL,2007,0.00%
01M509,MARTA VALLE SECONDARY SCHOOL,2001,82.40%
01M509,MARTA VALLE SECONDARY SCHOOL,2001,86.70%
01M509,MARTA VALLE SECONDARY SCHOOL,2001,87.20%
01M509,MARTA VALLE SECONDARY SCHOOL,2002,50.00%
01M509,MARTA VALLE SECONDARY SCHOOL,2002,63.60%
01M509,MARTA VALLE SECONDARY SCHOOL,2002,61.80%
01M509,MARTA VALLE SECONDARY SCHOOL,2003,29.00%
01M509,MARTA VALLE SECONDARY SCHOOL,2003,41.50%
01M509,MARTA VALLE SECONDARY SCHOOL,2003,42.90%
01M509,MARTA VALLE SECONDARY SCHOOL,2004,55.20%
01M509,MARTA VALLE SECONDARY SCHOOL,2004,58.80%
01M509,MARTA VALLE SECONDARY SCHOOL,2004,57.90%
01M509,MARTA VALLE SECONDARY SCHOOL,2005,22.40%
01M509,MARTA VALLE SECONDARY SCHOOL,2005,28.10%
01M509,MARTA VALLE SECONDARY SCHOOL,2005,31.30%
01M509,MARTA VALLE SECONDARY SCHOOL,2005,31.80%
01M509,MARTA VALLE SECONDARY SCHOOL,2006,14.90%
01M509,MARTA VALLE SECONDARY SCHOOL,2006,18.00%
01M509,MARTA VALLE SECONDARY SCHOOL,2006,24.60%
01M509,MARTA VALLE SECONDARY SCHOOL,2006,23.70%
01M509,MARTA VALLE SECONDARY SCHOOL,2007,27.70%
01M509,MARTA VALLE SECONDARY SCHOOL,2007,30.20%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,60.20%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,61.10%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2001,62.40%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,31.20%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,33.90%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2002,35.30%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,17.40%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,24.50%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2003,27.50%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,23.70%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,23.00%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2004,23.30%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,20.00%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,23.40%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,18.30%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2005,23.60%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,13.30%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,13.30%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,17.10%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2006,17.00%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,10.80%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2007,12.30%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2001,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2001,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2001,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2002,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2002,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2002,s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2003,1.70%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2003,1.70%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2003,1.70%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2004,0.00%
01M650,CASCADES HIGH SCHOOL,2006,27.80%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2004,0.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2004,0.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,0.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,2.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,2.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2005,2.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,0.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,0.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,0.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2006,0.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,0.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,0.00%
01M650,CASCADES HIGH SCHOOL,2001,92.60%
01M650,CASCADES HIGH SCHOOL,2001,92.90%
01M650,CASCADES HIGH SCHOOL,2001,93.50%
01M650,CASCADES HIGH SCHOOL,2002,72.70%
01M650,CASCADES HIGH SCHOOL,2002,72.70%
01M650,CASCADES HIGH SCHOOL,2002,72.90%
01M650,CASCADES HIGH SCHOOL,2003,74.10%
01M650,CASCADES HIGH SCHOOL,2003,67.70%
01M650,CASCADES HIGH SCHOOL,2003,66.70%
01M650,CASCADES HIGH SCHOOL,2004,64.30%
01M650,CASCADES HIGH SCHOOL,2004,61.00%
01M650,CASCADES HIGH SCHOOL,2004,60.60%
01M650,CASCADES HIGH SCHOOL,2005,45.20%
01M650,CASCADES HIGH SCHOOL,2005,50.00%
01M650,CASCADES HIGH SCHOOL,2005,53.70%
01M650,CASCADES HIGH SCHOOL,2005,52.90%
01M650,CASCADES HIGH SCHOOL,2006,26.50%
01M650,CASCADES HIGH SCHOOL,2006,26.50%
01M650,CASCADES HIGH SCHOOL,2006,28.60%
01M650,CASCADES HIGH SCHOOL,2007,35.60%
01M650,CASCADES HIGH SCHOOL,2007,36.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2001,1.80%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2001,2.60%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2001,2.60%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2002,1.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2002,0.90%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2002,0.90%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2003,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2003,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2003,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2004,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2004,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2004,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2005,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2005,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2005,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2005,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2007,0.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2007,0.00%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2001,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2001,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2001,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2002,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2002,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2002,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2003,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2003,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2004,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2004,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2004,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2005,55.60%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2005,63.60%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2005,66.70%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2005,64.30%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,57.90%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,57.90%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,57.90%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,57.90%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2007,25.00%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2007,25.00%
02M288,FOOD AND FINANCE HIGH SCHOOL,2001,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2001,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2001,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2002,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2002,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2002,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2003,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2003,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2003,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2004,5.70%
02M288,FOOD AND FINANCE HIGH SCHOOL,2004,6.90%
02M288,FOOD AND FINANCE HIGH SCHOOL,2004,8.50%
02M288,FOOD AND FINANCE HIGH SCHOOL,2005,18.60%
02M288,FOOD AND FINANCE HIGH SCHOOL,2005,24.30%
02M288,FOOD AND FINANCE HIGH SCHOOL,2005,25.00%
02M288,FOOD AND FINANCE HIGH SCHOOL,2005,25.00%
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,15.40%
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,15.20%
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,16.10%
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,16.10%
02M288,FOOD AND FINANCE HIGH SCHOOL,2007,11.60%
02M288,FOOD AND FINANCE HIGH SCHOOL,2007,11.00%
02M294,ESSEX STREET ACADEMY,2002,s
02M294,ESSEX STREET ACADEMY,2002,s
02M294,ESSEX STREET ACADEMY,2002,s
02M294,ESSEX STREET ACADEMY,2003,s
02M294,ESSEX STREET ACADEMY,2003,s
02M294,ESSEX STREET ACADEMY,2003,s
02M294,ESSEX STREET ACADEMY,2004,40.70%
02M294,ESSEX STREET ACADEMY,2004,41.00%
02M294,ESSEX STREET ACADEMY,2004,39.80%
02M294,ESSEX STREET ACADEMY,2005,1.90%
02M294,ESSEX STREET ACADEMY,2005,3.40%
02M294,ESSEX STREET ACADEMY,2005,3.40%
02M294,ESSEX STREET ACADEMY,2005,3.30%
02M294,ESSEX STREET ACADEMY,2006,9.40%
02M294,ESSEX STREET ACADEMY,2006,13.40%
02M294,ESSEX STREET ACADEMY,2006,13.40%
02M294,ESSEX STREET ACADEMY,2006,13.20%
02M294,ESSEX STREET ACADEMY,2007,74.50%
02M294,ESSEX STREET ACADEMY,2007,64.80%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2003,s
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2003,s
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2003,s
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2004,33.90%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2004,34.80%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2004,35.80%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2005,14.90%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2005,15.00%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2005,14.60%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2005,16.70%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,13.80%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,13.30%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,16.10%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,16.10%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2007,6.60%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2007,7.70%
02M298,PACE HIGH SCHOOL,2002,s
02M298,PACE HIGH SCHOOL,2002,s
02M298,PACE HIGH SCHOOL,2002,s
02M298,PACE HIGH SCHOOL,2003,s
02M298,PACE HIGH SCHOOL,2003,s
02M298,PACE HIGH SCHOOL,2003,s
02M298,PACE HIGH SCHOOL,2004,0.00%
02M298,PACE HIGH SCHOOL,2004,0.00%
02M298,PACE HIGH SCHOOL,2004,0.00%
02M298,PACE HIGH SCHOOL,2005,6.10%
02M298,PACE HIGH SCHOOL,2005,7.00%
02M298,PACE HIGH SCHOOL,2005,6.70%
02M298,PACE HIGH SCHOOL,2005,6.70%
02M298,PACE HIGH SCHOOL,2006,2.60%
02M298,PACE HIGH SCHOOL,2006,2.50%
02M298,PACE HIGH SCHOOL,2006,4.90%
02M298,PACE HIGH SCHOOL,2006,4.90%
02M298,PACE HIGH SCHOOL,2007,5.80%
02M298,PACE HIGH SCHOOL,2007,5.80%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2002,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2002,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2002,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2003,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2003,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2003,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2004,7.00%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2004,12.90%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2004,12.70%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2005,3.40%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2005,6.30%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2005,6.30%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2005,7.60%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2006,8.20%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2006,15.80%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2006,17.20%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2006,18.50%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2007,2.10%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2007,8.80%
02M303,FACING HISTORY SCHOOL (THE),2004,s
02M303,FACING HISTORY SCHOOL (THE),2004,s
02M303,FACING HISTORY SCHOOL (THE),2004,s
02M303,FACING HISTORY SCHOOL (THE),2005,0.00%
02M303,FACING HISTORY SCHOOL (THE),2005,0.00%
02M303,FACING HISTORY SCHOOL (THE),2005,0.00%
02M303,FACING HISTORY SCHOOL (THE),2005,1.70%
02M303,FACING HISTORY SCHOOL (THE),2006,0.00%
02M303,FACING HISTORY SCHOOL (THE),2006,0.00%
02M303,FACING HISTORY SCHOOL (THE),2006,2.10%
02M303,FACING HISTORY SCHOOL (THE),2006,2.10%
02M303,FACING HISTORY SCHOOL (THE),2007,5.30%
02M303,FACING HISTORY SCHOOL (THE),2007,4.80%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2003,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2003,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2003,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2005,18.00%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2005,19.60%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2005,18.90%
02M543,NEW DESIGN HIGH SCHOOL,2002,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2005,20.40%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2006,13.00%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2006,13.00%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2006,12.80%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2006,12.80%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2007,10.80%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2007,15.00%
02M308,LOWER MANHATTAN ARTS ACADEMY,2004,s
02M308,LOWER MANHATTAN ARTS ACADEMY,2004,s
02M308,LOWER MANHATTAN ARTS ACADEMY,2004,s
02M308,LOWER MANHATTAN ARTS ACADEMY,2005,42.30%
02M308,LOWER MANHATTAN ARTS ACADEMY,2005,42.30%
02M308,LOWER MANHATTAN ARTS ACADEMY,2005,41.80%
02M308,LOWER MANHATTAN ARTS ACADEMY,2005,41.10%
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,30.40%
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,29.20%
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,30.60%
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,30.60%
02M308,LOWER MANHATTAN ARTS ACADEMY,2007,26.10%
02M308,LOWER MANHATTAN ARTS ACADEMY,2007,29.20%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2002,s
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2002,s
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2002,s
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2003,73.30%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2003,68.40%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2003,65.00%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2004,46.20%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2004,57.10%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2004,56.50%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2005,50.00%
02M543,NEW DESIGN HIGH SCHOOL,2002,s
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2005,54.30%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2005,53.30%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2005,53.10%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2006,26.80%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2006,31.10%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2006,30.80%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2006,30.80%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2007,19.10%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,2007,20.80%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2002,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2002,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2002,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2004,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2004,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2004,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2005,34.70%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2005,40.70%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2005,34.70%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2005,34.70%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,17.00%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,20.70%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,23.30%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,23.30%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2007,18.90%
