DBN,School Name,Total Grads Pct of cohort
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,74.10%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,42.70%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,48.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,62.10%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,66.40%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,66.00%
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,70.70%
01M450,EAST SIDE COMMUNITY SCHOOL,67.20%
01M450,EAST SIDE COMMUNITY SCHOOL,73.80%
01M450,EAST SIDE COMMUNITY SCHOOL,75.40%
01M450,EAST SIDE COMMUNITY SCHOOL,62.50%
01M450,EAST SIDE COMMUNITY SCHOOL,75.00%
01M450,EAST SIDE COMMUNITY SCHOOL,76.40%
01M450,EAST SIDE COMMUNITY SCHOOL,62.00%
01M450,EAST SIDE COMMUNITY SCHOOL,74.70%
01M450,EAST SIDE COMMUNITY SCHOOL,75.60%
01M450,EAST SIDE COMMUNITY SCHOOL,72.50%
01M450,EAST SIDE COMMUNITY SCHOOL,80.50%
01M450,EAST SIDE COMMUNITY SCHOOL,80.80%
01M450,EAST SIDE COMMUNITY SCHOOL,71.80%
01M450,EAST SIDE COMMUNITY SCHOOL,72.90%
01M450,EAST SIDE COMMUNITY SCHOOL,73.30%
01M450,EAST SIDE COMMUNITY SCHOOL,74.40%
01M450,EAST SIDE COMMUNITY SCHOOL,77.80%
01M450,EAST SIDE COMMUNITY SCHOOL,78.90%
01M450,EAST SIDE COMMUNITY SCHOOL,82.40%
01M450,EAST SIDE COMMUNITY SCHOOL,84.60%
01M450,EAST SIDE COMMUNITY SCHOOL,62.90%
01M450,EAST SIDE COMMUNITY SCHOOL,70.80%
01M509,MARTA VALLE SECONDARY SCHOOL,49.30%
01M509,MARTA VALLE SECONDARY SCHOOL,65.20%
01M509,MARTA VALLE SECONDARY SCHOOL,68.10%
01M509,MARTA VALLE SECONDARY SCHOOL,40.00%
01M509,MARTA VALLE SECONDARY SCHOOL,60.00%
01M509,MARTA VALLE SECONDARY SCHOOL,61.80%
01M509,MARTA VALLE SECONDARY SCHOOL,44.30%
01M509,MARTA VALLE SECONDARY SCHOOL,58.60%
01M509,MARTA VALLE SECONDARY SCHOOL,61.80%
01M509,MARTA VALLE SECONDARY SCHOOL,44.60%
01M509,MARTA VALLE SECONDARY SCHOOL,53.10%
01M509,MARTA VALLE SECONDARY SCHOOL,58.50%
01M509,MARTA VALLE SECONDARY SCHOOL,55.70%
01M509,MARTA VALLE SECONDARY SCHOOL,64.80%
01M509,MARTA VALLE SECONDARY SCHOOL,71.10%
01M509,MARTA VALLE SECONDARY SCHOOL,73.30%
01M509,MARTA VALLE SECONDARY SCHOOL,56.00%
01M509,MARTA VALLE SECONDARY SCHOOL,59.50%
01M509,MARTA VALLE SECONDARY SCHOOL,66.30%
01M509,MARTA VALLE SECONDARY SCHOOL,68.60%
01M509,MARTA VALLE SECONDARY SCHOOL,49.50%
01M509,MARTA VALLE SECONDARY SCHOOL,55.80%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,53.00%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,65.10%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,70.50%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,44.80%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,63.40%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,67.40%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,42.00%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,51.70%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,58.00%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,48.50%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,61.80%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,62.00%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,45.50%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,50.00%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,62.30%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,69.10%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,54.40%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,54.40%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,53.90%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,56.30%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,31.50%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,34.50%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",s
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",100.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",100.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",100.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",96.70%
01M650,CASCADES HIGH SCHOOL,70.30%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",96.70%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",96.70%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",95.90%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",100.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",100.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",100.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",100.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",100.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",100.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",100.00%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",95.30%
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",95.30%
01M650,CASCADES HIGH SCHOOL,31.40%
01M650,CASCADES HIGH SCHOOL,48.80%
01M650,CASCADES HIGH SCHOOL,53.50%
01M650,CASCADES HIGH SCHOOL,23.90%
01M650,CASCADES HIGH SCHOOL,47.80%
01M650,CASCADES HIGH SCHOOL,64.10%
01M650,CASCADES HIGH SCHOOL,29.00%
01M650,CASCADES HIGH SCHOOL,66.70%
01M650,CASCADES HIGH SCHOOL,76.50%
01M650,CASCADES HIGH SCHOOL,41.80%
01M650,CASCADES HIGH SCHOOL,67.80%
01M650,CASCADES HIGH SCHOOL,79.80%
01M650,CASCADES HIGH SCHOOL,32.60%
01M650,CASCADES HIGH SCHOOL,35.80%
01M650,CASCADES HIGH SCHOOL,58.30%
01M650,CASCADES HIGH SCHOOL,73.90%
01M650,CASCADES HIGH SCHOOL,55.10%
01M650,CASCADES HIGH SCHOOL,55.10%
01M650,CASCADES HIGH SCHOOL,71.00%
01M650,CASCADES HIGH SCHOOL,38.10%
01M650,CASCADES HIGH SCHOOL,42.40%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,94.10%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,97.50%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,97.50%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,94.50%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,98.20%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,98.20%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,97.60%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,97.60%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,97.60%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,92.30%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,94.80%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,94.80%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,93.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,93.00%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,95.60%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,95.60%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,96.40%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,97.80%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,99.30%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,99.30%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,97.60%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,98.40%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,37.50%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,45.80%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,50.00%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,56.00%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,76.00%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,76.00%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,73.10%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,73.10%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,69.60%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,69.60%
02M288,FOOD AND FINANCE HIGH SCHOOL,s
02M288,FOOD AND FINANCE HIGH SCHOOL,s
02M288,FOOD AND FINANCE HIGH SCHOOL,s
02M288,FOOD AND FINANCE HIGH SCHOOL,s
02M288,FOOD AND FINANCE HIGH SCHOOL,s
02M288,FOOD AND FINANCE HIGH SCHOOL,s
02M288,FOOD AND FINANCE HIGH SCHOOL,s
02M288,FOOD AND FINANCE HIGH SCHOOL,s
02M288,FOOD AND FINANCE HIGH SCHOOL,s
02M288,FOOD AND FINANCE HIGH SCHOOL,66.30%
02M288,FOOD AND FINANCE HIGH SCHOOL,69.90%
02M288,FOOD AND FINANCE HIGH SCHOOL,70.20%
02M288,FOOD AND FINANCE HIGH SCHOOL,74.70%
02M288,FOOD AND FINANCE HIGH SCHOOL,88.60%
02M288,FOOD AND FINANCE HIGH SCHOOL,92.30%
02M288,FOOD AND FINANCE HIGH SCHOOL,92.30%
02M288,FOOD AND FINANCE HIGH SCHOOL,89.20%
02M288,FOOD AND FINANCE HIGH SCHOOL,90.20%
02M288,FOOD AND FINANCE HIGH SCHOOL,93.00%
02M288,FOOD AND FINANCE HIGH SCHOOL,93.00%
02M288,FOOD AND FINANCE HIGH SCHOOL,76.70%
02M288,FOOD AND FINANCE HIGH SCHOOL,81.10%
02M294,ESSEX STREET ACADEMY,s
02M294,ESSEX STREET ACADEMY,s
02M294,ESSEX STREET ACADEMY,s
02M294,ESSEX STREET ACADEMY,s
02M294,ESSEX STREET ACADEMY,s
02M294,ESSEX STREET ACADEMY,s
02M294,ESSEX STREET ACADEMY,84.40%
02M294,ESSEX STREET ACADEMY,87.40%
02M294,ESSEX STREET ACADEMY,86.50%
02M294,ESSEX STREET ACADEMY,77.10%
02M294,ESSEX STREET ACADEMY,82.90%
02M294,ESSEX STREET ACADEMY,89.40%
02M294,ESSEX STREET ACADEMY,89.60%
02M294,ESSEX STREET ACADEMY,71.90%
02M294,ESSEX STREET ACADEMY,75.30%
02M294,ESSEX STREET ACADEMY,76.10%
02M294,ESSEX STREET ACADEMY,77.30%
02M294,ESSEX STREET ACADEMY,58.80%
02M294,ESSEX STREET ACADEMY,67.50%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,s
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,s
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,s
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,72.80%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,81.50%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,83.80%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,81.30%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,87.90%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,90.10%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,92.30%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,77.30%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,80.00%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,86.10%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,86.10%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,74.40%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,79.30%
02M298,PACE HIGH SCHOOL,s
02M298,PACE HIGH SCHOOL,s
02M298,PACE HIGH SCHOOL,s
02M298,PACE HIGH SCHOOL,s
02M298,PACE HIGH SCHOOL,s
02M298,PACE HIGH SCHOOL,s
02M298,PACE HIGH SCHOOL,85.20%
02M298,PACE HIGH SCHOOL,89.50%
02M298,PACE HIGH SCHOOL,90.40%
02M298,PACE HIGH SCHOOL,83.70%
02M298,PACE HIGH SCHOOL,87.80%
02M298,PACE HIGH SCHOOL,90.80%
02M298,PACE HIGH SCHOOL,90.80%
02M298,PACE HIGH SCHOOL,84.80%
02M298,PACE HIGH SCHOOL,85.90%
02M298,PACE HIGH SCHOOL,88.00%
02M298,PACE HIGH SCHOOL,88.00%
02M298,PACE HIGH SCHOOL,91.50%
02M298,PACE HIGH SCHOOL,91.50%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,68.70%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,77.50%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,80.80%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,74.70%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,81.00%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,83.10%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,85.70%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,61.30%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,71.30%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,80.00%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,81.30%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,54.70%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,66.30%
02M303,FACING HISTORY SCHOOL (THE),s
02M303,FACING HISTORY SCHOOL (THE),s
02M303,FACING HISTORY SCHOOL (THE),s
02M303,FACING HISTORY SCHOOL (THE),44.80%
02M303,FACING HISTORY SCHOOL (THE),50.50%
02M303,FACING HISTORY SCHOOL (THE),62.20%
02M303,FACING HISTORY SCHOOL (THE),65.20%
02M303,FACING HISTORY SCHOOL (THE),47.90%
02M303,FACING HISTORY SCHOOL (THE),59.20%
02M303,FACING HISTORY SCHOOL (THE),70.10%
02M303,FACING HISTORY SCHOOL (THE),70.10%
02M303,FACING HISTORY SCHOOL (THE),48.10%
02M303,FACING HISTORY SCHOOL (THE),53.20%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,71.40%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,72.90%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,73.60%
02M543,NEW DESIGN HIGH SCHOOL,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,75.00%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,75.40%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,75.40%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,75.80%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,75.80%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,62.70%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,67.80%
02M308,LOWER MANHATTAN ARTS ACADEMY,s
02M308,LOWER MANHATTAN ARTS ACADEMY,s
02M308,LOWER MANHATTAN ARTS ACADEMY,s
02M308,LOWER MANHATTAN ARTS ACADEMY,77.60%
02M308,LOWER MANHATTAN ARTS ACADEMY,77.60%
02M308,LOWER MANHATTAN ARTS ACADEMY,84.60%
02M308,LOWER MANHATTAN ARTS ACADEMY,86.20%
02M308,LOWER MANHATTAN ARTS ACADEMY,67.60%
02M308,LOWER MANHATTAN ARTS ACADEMY,70.60%
02M308,LOWER MANHATTAN ARTS ACADEMY,77.80%
02M308,LOWER MANHATTAN ARTS ACADEMY,77.80%
02M308,LOWER MANHATTAN ARTS ACADEMY,73.00%
02M308,LOWER MANHATTAN ARTS ACADEMY,76.20%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,s
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,s
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,s
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,60.00%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,76.00%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,74.10%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,29.50%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,47.70%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,50.00%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,38.50%
02M543,NEW DESIGN HIGH SCHOOL,s
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,44.90%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,56.30%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,62.00%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,51.90%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,57.00%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,58.40%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,58.40%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,43.10%
02M313,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LR,48.60%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,63.60%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,76.60%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,81.70%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,81.70%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,73.60%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,80.60%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,81.10%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,81.10%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,60.70%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,80.30%
02M374,GRAMERCY ARTS HIGH SCHOOL,s
02M374,GRAMERCY ARTS HIGH SCHOOL,s
02M374,GRAMERCY ARTS HIGH SCHOOL,73.50%
02M374,GRAMERCY ARTS HIGH SCHOOL,80.90%
02M374,GRAMERCY ARTS HIGH SCHOOL,84.10%
02M374,GRAMERCY ARTS HIGH SCHOOL,88.40%
02M374,GRAMERCY ARTS HIGH SCHOOL,73.10%
02M374,GRAMERCY ARTS HIGH SCHOOL,78.50%
02M374,GRAMERCY ARTS HIGH SCHOOL,83.50%
02M374,GRAMERCY ARTS HIGH SCHOOL,85.70%
02M374,GRAMERCY ARTS HIGH SCHOOL,73.60%
02M374,GRAMERCY ARTS HIGH SCHOOL,77.80%
02M376,NYC ISCHOOL,s
02M394,EMMA LAZARUS HIGH SCHOOL,s
02M394,EMMA LAZARUS HIGH SCHOOL,s
02M394,EMMA LAZARUS HIGH SCHOOL,s
02M394,EMMA LAZARUS HIGH SCHOOL,s
02M394,EMMA LAZARUS HIGH SCHOOL,s
02M394,EMMA LAZARUS HIGH SCHOOL,s
02M394,EMMA LAZARUS HIGH SCHOOL,s
02M394,EMMA LAZARUS HIGH SCHOOL,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,75.30%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,82.50%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,84.70%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,74.20%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,84.70%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,86.00%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,73.10%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,82.10%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,83.80%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,79.50%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,86.90%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,88.30%
